COMMUNEID;VILLEID;DESIGNATION;CODE
215;86;NDIEDIENG;3
216;87;LATMINGUE;1
217;87;THIARE;2
218;87;KEUR BAKA;3
219;88;DYA;1
220;88;NDIEBEL;2
221;88;THIOMBY;3
222;89;COM. NIORO;0
223;90;COM. KEUR MADIABEL;0
224;91;KAYEMOR;1
225;91;MEDINA-SABAKH;2
226;91;NGAYENE;3
227;92;GAINTE KAYE;1
228;92;PAOSKOTO;2
229;92;POROKHANE;3
230;92;TA?BA NIASSENE;4
231;92;DABALY;5
232;92;DAROU SALAM;6
233;93;KEUR MABA DIAKHOU;1
234;93;NDRAME ESCALE;2
235;93;WACK NGOUNA;3
236;93;K. MANDONGO;4
237;94;COM. GUINGUINEO;0
238;95;COM. FASS;0
239;96;COM. MBOSS;0
240;97;MBADAKHOUNE;1
241;97;NDIAGO;2
242;97;NGATHIE NAOUDE;3
243;97;KHELCOM BIRAME;4
244;98;GAGNICK;1
245;98;NGUELOU;2
246;98;OUROUR;3
247;98;DARA MBOSS;4
248;98;PANAL OUOLOF;5
249;99;COM. JOAL- FADIOUTH;0
250;100;COM. M?BOUR;0
251;101;COM. GUEKOKH;0
252;102;COM. THIADIAYE;0
253;103;COM. N?GAPAROU;0
254;104;COM. POPOGUINE;0
255;105;COM. SALY PORTUDAL;0
256;106;COM. SOMONE;0
257;107;FISSEL;1
258;107;N?DIAGANIAO;2
259;108;N?GUENIENE;1
260;108;SANDIARA;2
261;108;SESSENE;3
262;109;MALICOUNDA;1
263;109;DIASS;2
264;109;SINDIA;3
265;110;COM. KHOMBOLE;0
266;111;COM. POUT;0
267;112;COM. CAYAR;0
268;113;NOTTO;1
269;113;TASSETTE;2
270;114;N?DIEYENE SIRAKH;1
271;114;N?GOUNDIANE;2
272;114;THIENABA;3
273;114;TOUBA TOUL;4
274;115;DIENDER GUEDJI;1
275;115;FANDENE;2
276;115;KEUR MOUSSA;3
277;116;THIES NORD;11
278;116;THIES EST;21
279;116;THIES OUEST;22
280;117;COM. MEKHE;0
281;118;COM. TIVAOUANE;0
282;119;COM. M?BORO;0
283;120;MEOUANE;1
284;120;TAIBA N?DIAYE;2
285;120;DAROU KHOUDOSS;3
286;121;KOUL;1
287;121;MERINA DAKHAR;2
288;121;PEKESSE;3
289;122;M?BAYENE;1
290;122;N?GANDIOUF;2
291;122;NIAKHENE;3
292;122;THILMAKHA;4
293;123;CHERIF LÖ;1
294;123;MONT- ROLLAND;2
295;123;NOTTO GOUYE DIAMA;3
296;123;PIRE GOUREYE;4
297;123;PAMBAL;5
298;124;COM. KEBEMER;0
